,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
patagones,2,24979,25444,27104,18380,17551,19322,6617,6381,8457,6436,6247,6630,2992,2901,2609,2031,868,767,569,690,230,537,363
villarino,2,25256,25653,26003,19609,17842,19130,6612,6185,7825,4505,2971,3056,4157,2302,3320,2730,2988,2056,1340,1330,309,408,273
general villegas,2,23601,24818,24817,19260,18067,19153,7296,7510,9739,3060,2692,2979,6373,4871,4226,2048,993,919,1249,693,245,420,276
pinamar,2,25362,27558,27498,17689,16600,18992,7330,6856,8806,4061,3782,4098,2752,2497,1880,1969,787,1000,965,909,360,643,493
dolores,2,22670,23367,24046,17786,17649,18349,7741,8171,10409,4437,3741,4324,3401,2447,1752,2390,906,822,996,857,261,451,250
brandsen,2,20935,22822,23151,17080,17565,17838,6615,6459,8388,5668,5382,6135,1995,2078,1775,2222,2078,846,499,515,387,596,533
mar chiquita,2,21168,23249,23245,17550,16708,17207,6618,6710,8338,6568,4929,5559,2009,2495,1636,1214,681,684,722,641,343,644,374
las flores,2,19906,19808,21111,16021,14447,16559,6019,5434,7576,4961,3748,4402,2012,3393,2801,2105,792,822,528,610,307,492,462
rojas,2,19766,20012,20344,16187,14844,15888,7230,6693,8883,3133,3317,3642,3354,2817,1902,1980,919,873,531,589,200,364,355
colon,2,19384,20788,20424,15236,15183,15007,5204,5422,6321,5771,5140,6288,1976,1752,1195,1857,1544,1199,1120,743,308,419,445
san antonio de areco,2,19532,18376,19856,16336,14364,16601,6718,6505,8681,6043,3812,4891,1571,1777,1199,1446,545,463,696,470,562,652,486
coronel pringles,2,19687,20282,19583,14922,14609,14948,6200,6885,7748,4230,3899,3675,1706,1362,1187,2670,1439,1264,447,429,469,496,333
san andres de giles,2,18564,19057,19324,15048,14683,15155,4392,5830,6546,3723,3422,4038,4157,2388,2363,2446,1355,1610,640,536,177,299,253
carlos casares,2,18383,18971,18602,14493,13388,14239,5900,6275,7536,4801,2065,2395,1722,1633,1149,1853,1234,973,2156,2274,277,370,353
monte,2,17951,18670,18646,13799,13032,14142,4435,5870,6942,4157,3403,3734,3729,1995,1577,1254,789,671,1007,837,235,413,301
saavedra,2,17678,18272,18253,13754,13468,13750,5215,6567,7281,4015,2973,3248,1953,1852,1641,1194,516,432,518,430,268,414,300
ayacucho,2,15595,17082,17404,13087,11843,13502,5291,4944,6720,3688,2829,2919,1114,1631,1369,2263,1017,1059,923,890,450,671,322
general juan madariaga,2,16354,17352,17700,12733,12262,12311,4882,5159,6999,4122,2662,3225,2302,1559,1120,1323,682,560,1177,879,331,459,387
benito juarez,2,16447,16959,16929,13212,11079,12973,4200,4196,5698,4755,4109,4188,2059,1377,1036,1633,1657,1590,210,243,237,386,328
general belgrano,2,15449,15223,15906,12812,10851,12435,5269,5356,6654,4479,2020,2204,1529,1102,1061,1317,1006,776,1664,1351,197,271,231
general viamonte,2,14230,14980,15680,11829,11586,12548,4458,4789,6311,3773,3795,4076,1813,1349,1018,1346,591,423,432,376,130,237,156
daireaux,2,14225,14485,14471,11735,11034,11809,5298,4850,5854,4295,3216,3697,1001,1278,820,1460,905,880,332,303,90,146,105
leandro n. alem,2,14647,14745,14395,10845,11124,11640,4108,4236,5190,4139,3812,4312,1840,1564,754,1289,707,607,383,412,208,238,249
general arenales,2,14241,14222,14573,11889,10862,11178,5775,5608,6693,4112,3122,3115,1018,1046,908,917,509,416,194,356,106,191,139
magdalena,2,13631,14843,14912,11243,11082,11880,4161,4555,5940,2499,2699,2763,2755,1886,1635,1129,725,526,543,492,216,384,282
loberia,2,14239,14195,14334,11547,10730,11322,5506,4798,5764,3669,2836,3129,1108,1493,1156,1101,618,450,421,345,287,336,178
navarro,2,13342,13935,14488,11163,11141,11607,4335,4887,5685,4418,3241,3713,1388,1004,789,984,647,588,855,789,115,205,126
puan,2,14299,14433,14433,11025,9669,10388,6116,5569,6853,2447,1416,1549,1113,1263,1116,1170,433,345,425,397,399,543,271
rivadavia,2,13233,13976,13976,10426,10543,11121,5567,4480,5596,1141,1614,1714,2869,2657,2313,1302,904,730,481,490,94,178,104
adolfo alsina,2,13189,13985,14314,10543,10253,11047,4957,5164,6049,2688,2111,2279,1156,1208,1135,1291,756,661,719,616,123,225,128
coronel dorrego,2,13617,13765,13765,10962,9960,10522,4976,4657,5545,2900,2430,2565,985,1451,1114,1847,835,676,553,555,150,237,175
rauch,2,12274,13227,13547,10128,10044,10963,4310,4338,5774,3750,3376,3535,645,1005,756,1490,770,711,197,217,122,261,214
general las heras,2,11780,12219,12914,9296,9672,10688,2585,2846,4031,3345,2904,3249,2451,2476,2359,781,490,440,404,376,186,301,179
