,,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,circuito,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
lanus,0261,2,30513,34991,34991,23785,24406,25958,7579,8610,10416,8416,8494,9731,5574,3887,2849,1279,837,646,1513,1105,1136,1721,1409
malvinas argentinas,0399A,2,32605,27886,35958,27560,21173,29068,3930,5150,7980,10747,8929,13498,8398,3354,3186,2495,1165,1178,767,1012,886,1556,992
nueve de julio,0696,2,31699,32785,32570,25392,24479,25394,11701,11856,14319,7008,5308,5656,3493,3700,2716,2139,1036,958,1127,993,488,714,593
san miguel,0397C,2,30227,32432,32421,25045,23705,25613,3856,6611,8189,11251,11280,11855,6017,2942,2253,2909,1534,1234,1012,1204,803,1256,921
la plata,0504,2,30436,31312,33056,24457,24156,26692,10233,10510,13317,6961,5851,6961,3150,2653,2008,1331,709,698,1735,1597,1157,1802,1738
trenque lauquen,0957,2,31466,32129,32463,23902,23010,23862,9992,9737,12399,5821,6058,6363,4090,3927,2726,3761,1484,1156,718,849,358,656,407
florencio varela,0302C,2,28665,30703,31754,24142,23111,24885,4463,5818,7531,10507,10845,11621,5049,2914,2280,2293,1227,1044,1209,1443,898,1483,1207
bragado,0136,2,29914,30953,30953,24654,23584,23776,10497,9988,11804,8557,7072,7486,2448,2515,1631,2271,1180,893,1805,1577,374,666,472
tigre,0534,2,26319,35180,34480,22157,24282,25231,7873,9448,10660,5037,5277,5701,6610,5309,4325,1355,904,744,730,755,737,1028,896
ensenada,0491,2,31592,28616,31771,24665,22135,25491,6026,5888,8420,9261,9135,11360,4391,2861,2212,2582,1058,938,736,923,1272,1594,1760
la matanza,0629,2,31435,28775,33344,24252,21791,25504,4596,4707,6810,11241,10051,12359,5021,3061,2350,1644,768,582,1300,1297,970,1471,1122
quilmes,0788,2,30081,30288,33191,23902,21412,24429,4212,3790,5726,13115,11448,14103,4377,2706,1969,1961,1170,711,1265,1240,697,1145,832
merlo,0654,2,32715,32224,31871,23315,22703,23861,3245,3711,5041,11761,11762,12637,4576,3169,2277,1911,1091,773,1144,1217,734,1061,696
almirante brown,0018,2,29026,30637,31342,22508,23098,24672,7098,7443,9203,7946,8137,9289,4250,3333,2500,1414,797,521,1443,1441,1062,1571,1236
la matanza,0631,2,29458,30143,30142,23399,23102,23759,6958,7771,9238,8470,8010,9045,5560,3515,2672,1160,677,372,1211,1091,969,1423,1180
quilmes,0788C,2,27434,30290,32041,23119,22465,23418,3417,3294,5187,12859,11977,14483,3844,2462,1953,2394,1619,1024,1473,1251,762,1068,781
