,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
laprida,2,120.42999999999999,137.84,123.88999999999999,100.0,100.0,100.0,38.09,39.660000000000004,42.6,40.9,38.15,40.739999999999995,6.59,8.200000000000001,7.28,8.469999999999999,5.5,4.26,2.73,2.0,3.6799999999999997,2.18,1.71
las flores,2,124.25,137.10999999999999,127.49,100.0,100.0,100.0,37.57,37.61,45.75,30.97,25.94,26.58,12.559999999999999,23.49,16.919999999999998,13.139999999999999,5.48,4.96,3.65,3.6799999999999997,2.13,2.97,2.88
leandro n. alem,2,135.06,132.54999999999998,123.66999999999999,100.0,100.0,100.0,37.88,38.080000000000005,44.59,38.17,34.27,37.04,16.97,14.06,6.4799999999999995,11.89,6.36,5.21,3.44,3.54,1.87,2.04,2.3
lincoln,2,124.95,146.62,133.83,100.0,100.0,100.0,44.940000000000005,46.239999999999995,55.230000000000004,34.03,24.81,25.34,11.88,13.91,10.09,10.54,8.85,3.7800000000000002,7.090000000000001,6.34,1.76,2.83,1.7500000000000002
loberia,2,123.31,132.29,126.6,100.0,100.0,100.0,47.68,44.72,50.91,31.77,26.43,27.639999999999997,9.6,13.91,10.209999999999999,9.53,5.76,3.9699999999999998,3.92,3.05,2.67,2.97,1.54
lobos,2,124.9,137.41,126.58,100.0,100.0,100.0,43.91,48.3,54.290000000000006,29.770000000000003,25.840000000000003,24.529999999999998,14.92,11.73,8.9,10.05,4.77,3.42,6.76,5.91,3.37,3.82,2.4699999999999998
lomas de zamora,2,133.14999999999998,141.54,134.97,100.0,100.0,100.0,27.02,31.1,34.53,41.24,39.019999999999996,41.67,17.1,13.669999999999998,8.98,6.370000000000001,5.7299999999999995,2.5100000000000002,4.81,4.62,4.26,5.680000000000001,4.84
lujan,2,130.06,136.58999999999997,132.21,100.0,100.0,100.0,41.85,40.73,49.82,27.01,27.26,26.36,19.09,14.39,10.95,8.88,6.16,4.72,5.42,5.4,2.79,4.09,3.32
magdalena,2,121.24,133.94,125.52000000000001,100.0,100.0,100.0,37.01,41.099999999999994,50.0,22.23,24.349999999999998,23.26,24.5,17.02,13.76,10.040000000000001,6.54,4.43,4.9,4.14,1.95,3.2300000000000004,2.5100000000000002
maipu,2,135.12,137.86,123.67999999999999,100.0,100.0,100.0,55.010000000000005,46.67,49.919999999999995,25.53,21.64,21.21,14.35,23.26,19.0,12.76,6.329999999999999,5.800000000000001,1.51,1.4200000000000002,1.17,2.2399999999999998,2.3
malvinas argentinas,2,121.59,133.92,125.42999999999999,100.0,100.0,100.0,16.68,26.31,29.89,38.65,40.949999999999996,44.05,30.2,16.33,11.35,8.84,5.07,3.82,4.15,3.6799999999999997,4.5600000000000005,5.84,4.19
mar chiquita,2,120.61999999999999,139.15,135.09,100.0,100.0,100.0,37.71,40.160000000000004,48.46,37.419999999999995,29.5,32.31,11.450000000000001,14.93,9.51,6.92,4.08,3.9800000000000004,4.32,3.73,2.0500000000000003,3.74,2.13
marcos paz,2,127.88,137.79999999999998,133.47,100.0,100.0,100.0,20.73,24.52,31.45,41.099999999999994,37.09,41.8,24.86,15.040000000000001,11.99,9.139999999999999,5.4,4.2700000000000005,11.52,7.04,3.35,4.44,3.29
