,,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,circuito,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
bahia blanca,0080,2,140.29,147.82999999999998,142.42999999999998,100.0,100.0,100.0,54.669999999999995,53.53,60.56,15.440000000000001,12.520000000000001,11.83,12.58,11.24,10.2,8.84,4.569999999999999,3.83,10.83,8.32,2.4899999999999998,4.29,2.4899999999999998
bahia blanca,0083,2,128.81,134.07,130.28,100.0,100.0,100.0,55.03,61.7,67.11,14.77,12.740000000000002,13.23,10.040000000000001,8.84,6.09,5.81,2.44,1.82,5.55,5.18,4.55,5.87,5.37
bahia blanca,0084,2,127.38000000000001,136.54,133.89,100.0,100.0,100.0,52.300000000000004,60.67,66.38,16.08,13.81,14.45,10.68,9.44,6.819999999999999,5.41,3.37,1.92,6.04,6.0600000000000005,5.27,6.77,6.16
bahia blanca,0085,2,127.30999999999999,129.56,128.06,100.0,100.0,100.0,46.79,49.519999999999996,57.199999999999996,19.98,16.66,17.78,13.29,10.8,7.7700000000000005,8.59,4.1000000000000005,3.06,7.470000000000001,7.5600000000000005,5.029999999999999,6.710000000000001,6.239999999999999
bahia blanca,0086,2,128.48,129.91,128.11999999999998,100.0,100.0,100.0,43.64,47.39,54.44,21.01,17.9,18.759999999999998,16.009999999999998,12.43,8.83,10.22,4.17,3.37,7.79,8.18,4.97,6.45,6.17
bahia blanca,0087,2,127.95,133.94,129.47,100.0,100.0,100.0,31.89,35.93,42.58,26.88,24.240000000000002,24.88,18.77,12.75,9.75,12.33,6.800000000000001,4.84,10.34,10.41,4.58,6.04,5.82
bahia blanca,0088,2,132.25,134.95999999999998,131.83,100.0,100.0,100.0,30.520000000000003,36.309999999999995,44.32,26.919999999999998,23.61,24.169999999999998,19.33,14.680000000000001,10.81,11.1,4.859999999999999,3.6999999999999997,8.33,9.719999999999999,4.19,6.13,5.16
bahia blanca,0089,2,128.26999999999998,134.16,125.01,100.0,100.0,100.0,57.120000000000005,60.95,65.67,15.770000000000001,13.469999999999999,13.69,10.54,8.84,6.35,6.92,3.3099999999999996,2.5,6.39,5.88,3.58,5.2,5.21
bahia blanca,0090,2,122.50000000000001,139.13,139.13,100.0,100.0,100.0,32.5,34.78,56.52,27.500000000000004,21.740000000000002,8.7,12.5,21.740000000000002,17.39,12.5,0.0,0.0,4.35,13.04,8.7,4.35,7.5
bahia blanca,0091,2,136.25,136.66,143.68,100.0,100.0,100.0,27.01,28.71,40.25,34.19,30.320000000000004,32.87,22.23,13.489999999999998,10.89,16.439999999999998,6.52,7.79,9.27,11.98,4.44,5.75,6.950000000000001
