dpto_merger_str,circuito,PROV_REF_ID,ELECTORES,VOTANTES,CAMBIEMOS,UNIDAD CIUDADANA,1PAIS,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE JUSTICIALISTA,VOTOS BLANCOS
lomas de zamora,0593,2,23563.0,17337.0,6724.0,6509.0,1930.0,1055.0,937.0,421.0
florencio varela,0302B,2,23217.0,17680.0,4005.0,8833.0,1526.0,839.0,991.0,1116.0
coronel suarez,0252,2,22549.0,17735.0,7958.0,3641.0,2665.0,754.0,456.0,2223.0
esteban echeverria,0287,2,22438.0,17305.0,4961.0,8556.0,1852.0,1047.0,834.0,685.0
san miguel,0397A,2,22141.0,17660.0,6782.0,6892.0,1719.0,1044.0,798.0,582.0
avellaneda,0027,2,23759.0,17091.0,4198.0,8926.0,1554.0,734.0,657.0,393.0
comuna 13,0142,1,24717.0,16675.0,13827.0,1377.0,,526.0,,129.0
escobar,0773,2,22721.0,17040.0,6614.0,6061.0,2068.0,884.0,768.0,1063.0
general san martin,0379,2,22140.0,17544.0,7733.0,5216.0,2021.0,1113.0,976.0,353.0
lanus,0263,2,23659.0,16666.0,7002.0,5531.0,1732.0,1110.0,719.0,297.0
comuna 06,0074,1,23632.0,18318.0,10297.0,3215.0,,933.0,,129.0
berisso,0512,2,22276.0,17016.0,7427.0,5710.0,1564.0,962.0,977.0,555.0
comuna 12,0127,1,23990.0,17543.0,10797.0,3065.0,,913.0,,120.0
berazategui,0792,2,22555.0,16998.0,5894.0,7024.0,1637.0,810.0,736.0,718.0
avellaneda,0034,2,22180.0,16665.0,6723.0,6311.0,1677.0,1113.0,664.0,376.0
comuna 14,0153,1,24364.0,16748.0,10443.0,3007.0,,975.0,,148.0
veinticinco de mayo,0980,2,21980.0,16480.0,8370.0,4886.0,1549.0,561.0,547.0,1087.0
quilmes,0785A,2,21417.0,16750.0,7954.0,5406.0,1630.0,1097.0,713.0,355.0
escobar,0773B,2,21254.0,16493.0,4210.0,8997.0,1808.0,633.0,648.0,1025.0
ezeiza,0290B,2,21008.0,16885.0,4442.0,8157.0,1812.0,913.0,965.0,802.0
comuna 14,0155,1,24132.0,16094.0,9359.0,3731.0,,1005.0,,126.0
zarate,1013,2,22039.0,15697.0,8168.0,4696.0,1648.0,708.0,501.0,617.0
malvinas argentinas,0399G,2,20454.0,16609.0,3538.0,9388.0,1748.0,796.0,579.0,779.0
avellaneda,0037,2,21380.0,16521.0,6492.0,6037.0,1587.0,1000.0,628.0,245.0
esteban echeverria,0287D,2,20771.0,16208.0,4567.0,7813.0,1609.0,960.0,874.0,747.0
lomas de zamora,0589,2,20890.0,16430.0,6847.0,5272.0,1671.0,1163.0,762.0,352.0
malvinas argentinas,0399E,2,20442.0,15948.0,4971.0,6905.0,2191.0,1112.0,694.0,559.0
berazategui,0790,2,20533.0,15996.0,6306.0,6036.0,1666.0,1002.0,684.0,548.0
comuna 15,0160,1,23502.0,15934.0,8001.0,3807.0,,1238.0,,175.0
esteban echeverria,0291A,2,20455.0,15749.0,5548.0,6859.0,1663.0,963.0,818.0,557.0
las flores,0538,2,20379.0,16016.0,7262.0,4331.0,2699.0,479.0,590.0,807.0
quilmes,0791,2,20430.0,16085.0,7133.0,5050.0,1563.0,986.0,778.0,271.0
comuna 14,0148,1,22716.0,15340.0,11454.0,1947.0,,653.0,,124.0
campana,0155,2,21084.0,15661.0,7943.0,3775.0,1389.0,732.0,493.0,828.0
san nicolas,0904,2,20200.0,15656.0,5730.0,5862.0,1990.0,567.0,895.0,990.0
lomas de zamora,0584,2,20415.0,15714.0,8684.0,3671.0,1360.0,1112.0,605.0,240.0
comuna 05,0064,1,22343.0,16479.0,7633.0,3880.0,,1215.0,,127.0
berisso,0513A,2,20897.0,15384.0,6039.0,5084.0,1585.0,948.0,826.0,586.0
quilmes,0786,2,21429.0,14887.0,5721.0,6058.0,1255.0,810.0,641.0,428.0
comuna 09,0098,1,22137.0,15432.0,8230.0,4054.0,,864.0,,159.0
general pueyrredon,0368,2,21689.0,14463.0,5254.0,5822.0,1266.0,834.0,782.0,695.0
san fernando,0879A,2,20453.0,15167.0,4087.0,4982.0,3610.0,689.0,565.0,1117.0
quilmes,0783,2,20633.0,14835.0,9235.0,3216.0,1021.0,804.0,507.0,245.0
bahia blanca,0074,2,19901.0,15067.0,7435.0,3345.0,1520.0,1030.0,1422.0,673.0
colon,0230,2,19866.0,14760.0,6127.0,6175.0,1159.0,414.0,687.0,1153.0
comuna 07,0083,1,21287.0,16133.0,9021.0,2736.0,,790.0,,115.0
san fernando,0878,2,20216.0,14944.0,4272.0,4858.0,3316.0,725.0,552.0,923.0
olavarria,0711D,2,19223.0,15245.0,6423.0,4286.0,2413.0,633.0,750.0,585.0
comuna 12,0125,1,21486.0,14628.0,8468.0,3475.0,,967.0,,134.0
san nicolas,0901B,2,18937.0,14860.0,6561.0,4621.0,1948.0,612.0,682.0,894.0
comuna 13,0147,1,21003.0,15161.0,9853.0,2102.0,,741.0,,120.0
zarate,1017,2,19295.0,14466.0,5082.0,6364.0,1780.0,542.0,533.0,749.0
brandsen,0148,2,19193.0,14576.0,6831.0,5115.0,1485.0,464.0,422.0,699.0
vicente lopez,0995,2,21488.0,14077.0,8560.0,2104.0,951.0,987.0,424.0,154.0
comuna 12,0133,1,20572.0,15288.0,8584.0,3108.0,,873.0,,114.0
comuna 05,0067,1,20680.0,15522.0,7088.0,3643.0,,1153.0,,125.0
san isidro,0895,2,19040.0,14581.0,11896.0,1000.0,575.0,534.0,269.0,218.0
san fernando,0877,2,18460.0,14785.0,4539.0,4604.0,3317.0,721.0,556.0,932.0
berazategui,0789C,2,18246.0,14611.0,6502.0,4865.0,1450.0,964.0,591.0,487.0
lanus,0272,2,19743.0,14056.0,6286.0,4335.0,1332.0,843.0,541.0,235.0
comuna 06,0068,1,20115.0,15270.0,7341.0,3451.0,,1073.0,,118.0
comuna 05,0063,1,20372.0,14927.0,7304.0,3593.0,,1058.0,,113.0
comuna 12,0132,1,20154.0,14777.0,7863.0,3432.0,,916.0,,118.0
patagones,0729,2,19386.0,13666.0,5192.0,5234.0,1837.0,431.0,549.0,580.0
san fernando,0879,2,17923.0,14410.0,5294.0,3767.0,3401.0,770.0,468.0,666.0
