Codigo Partido;Denominacion;Lista Interna;Agrupación
0900;FRENTE RENOVADOR DE LA CONCORDIA FTE PARA LA VICTORIA                                               ;                                                                                                    ;0900
0901;FRENTE POPULAR - DE LOS RIOS LIBRES, LAS CHACRAS Y EL TRABAJO                                       ;                                                                                                    ;0901
0902;PROYECTO AGRARIO Y SOCIAL PAYS                                                                      ;                                                                                                    ;0902
0903;VAMOS JUNTOS                                                                                        ;                                                                                                    ;0903
0905;FRENTE CIVICO Y SOCIAL                                                                              ;                                                                                                    ;0905
0906;UNIDOS POR UNA NUEVA ALTERNATIVA                                                                    ;                                                                                                    ;0906
0907;FRENTE UNIDOS UNA                                                                                   ;                                                                                                    ;0907
1806;ALIANZA FRENTE MARPLATENSE                                                                          ;                                                                                                    ;1806
3001;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;17 DE OCTUBRE                                                                                       ;0702
3002;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;1ª OPCION PARA LOS JOVENES                                                                          ;0702
3003;UNION PARA VIVIR MEJOR                                                                              ;28 PARA TODOS                                                                                       ;0701
3004;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;28 SOMOS TODOS                                                                                      ;0702
3005;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;ABANDERADA DE LOS HUMILDES                                                                          ;0702
3006;UNION PARA VIVIR MEJOR                                                                              ;ACEPTA EL DESAFIO                                                                                   ;0701
3007;UNION PARA VIVIR MEJOR                                                                              ;ACEPTA EL DESAFIO                                                                                   ;0701
3008;FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ;AGRUPACION FRENTE ANTIGUENSE                                                                        ;0702
3009;UNION PARA VIVIR MEJOR                                                                              ;AHORA SI                                                                                            ;0701
