Código Partido;Denominacion;Lista Interna;Agrupación
0816;VECINOS SOLIDARIOS DE ALTE. BROWN                                                                   ;                                                                                                    ;0816
0817;UVEP-U. VECINALISTA PLATENSE                                                                        ;                                                                                                    ;0817
0819;CONS.JUARENSE PARA LA PART.CIUDADANA                                                                ;                                                                                                    ;0819
0820;PROYECTO ESCOBAR                                                                                    ;                                                                                                    ;0820
0821;AG.VECINALISTA PROYECTO LOCAL MERLENSE                                                              ;                                                                                                    ;0821
0822;COMPROMISO VECINAL LA COSTA                                                                         ;                                                                                                    ;0822
0823;UNION VECINAL MAS CAMPANA                                                                           ;                                                                                                    ;0823
0824;MOVES LUJAN                                                                                         ;                                                                                                    ;0824
0827;JUNIN BICENTENARIO                                                                                  ;                                                                                                    ;0827
0828;P.O.T.-POR OLAVARRIA TODOS                                                                          ;                                                                                                    ;0828
0829;AGRUP.25 DE MAYO "MERCEDES"                                                                         ;                                                                                                    ;0829
0836;VALORES PARA MI PAIS NECOCHEA                                                                       ;                                                                                                    ;0836
0839;ACCION POR PILAR                                                                                    ;                                                                                                    ;0839
0840;VALORES PARA MI PAIS                                                                                ;                                                                                                    ;0840
0842;VECINALISMO EN ACCION                                                                               ;                                                                                                    ;0842
0843;NUEVO PERGAMINO                                                                                     ;                                                                                                    ;0843
0844;BIEN COMUN POR ROSALES                                                                              ;                                                                                                    ;0844
0845;UNION VEC.DE A.GONZALES CHAVES                                                                      ;                                                                                                    ;0845
0847;POR UN NUEVO JUNIN                                                                                  ;                                                                                                    ;0847
0848;MOV.VEC.DEL PARTIDO DE TRES ARROYOS                                                                 ;                                                                                                    ;0848
0849;UNION DEL PUEBLO MORENO                                                                             ;                                                                                                    ;0849
0850;SUMEMOS PILAR                                                                                       ;                                                                                                    ;0850
0851;SIEMPRE ITUZAINGO                                                                                   ;                                                                                                    ;0851
0852;INTEGRACION BALCARCEÑA                                                                              ;                                                                                                    ;0852
0853;JUNTOS POR CHACOMUS                                                                                 ;                                                                                                    ;0853
0854;ACUERDO BELGRANENSE                                                                                 ;                                                                                                    ;0854
0855;MAR DEL PLATA PUERTO Y REGION                                                                       ;                                                                                                    ;0855
0856;FUERZA VECINAL PARA EL CAMBIO SOCIAL                                                                ;                                                                                                    ;0856
0857;CAMBIA MENDOZA                                                                                      ;                                                                                                    ;0857
3001;JUSTICIALISTA                                                                                       ;AGRUPACION 4 DE JUNIO                                                                               ;0002
3002;JUSTICIALISTA                                                                                       ;CIUDADANOS EN ACCION                                                                                ;0002
3003;JUSTICIALISTA                                                                                       ;FRENTE PERONISTA BARRIAL                                                                            ;0002
3004;JUSTICIALISTA                                                                                       ;PERONISTAS DE LA PAMPA                                                                              ;0002
3005;JUSTICIALISTA                                                                                       ;PERONISTAS SI, PERSEGUIDOS NO (PSPN)                                                                ;0002
3006;INTRANSIGENTE                                                                                       ;PROTECTORA                                                                                          ;0006
3007;FEDERAL                                                                                             ;ALTERNATIVA                                                                                         ;0008
3009;FEDERAL                                                                                             ;CELESTE Y BLANCA                                                                                    ;0008
3011;FEDERAL                                                                                             ;DIGNIDAD CIUDADANA                                                                                  ;0008
